-130679,1714
-129923,1730
-129172,1747
-128404,1764
-127793,1779
-127027,1798
-126278,1818
-125520,1839
-124646,1865
-124145,1880
-123385,1905
-122639,1929
-121982,1952
-121148,1982
-120400,2011
-119654,2041
-118995,2068
-118112,2106
-117372,2140
-116758,2169
-116010,2204
-115464,2231
-114601,2274
-113742,2319
-113233,2345
-112374,2390
-111723,2424
-110956,2464
-110210,2504
-109604,2535
-108735,2579
-108072,2611
-107322,2648
-106452,2688
-105971,2710
-105099,2747
-104427,2775
-103674,2805
-102915,2835
-102329,2856
-101526,2883
-100790,2907
-100039,2931
-99202,2955
-98682,2969
-97902,2990
-97143,3009
-96412,3028
-95536,3047
-95031,3058
-94185,3076
-93646,3087
-92751,3103
-91998,3117
-91269,3129
-90551,3140
-90001,3149
-89113,3161
-88356,3170
-87769,3178
-86893,3188
-86224,3195
-85475,3201
-84730,3207
-84115,3211
-83256,3215
-82586,3217
-81842,3221
-80970,3226
-80480,3228
-79627,3232
-78951,3234
-78323,3236
-77439,3240
-76839,3242
-76061,3244
-75302,3246
-74567,3250
-73795,3252
-73193,3255
-72422,3260
-71665,3265
-71000,3268
-70160,3273
-69539,3276
-68761,3280
-68169,3286
-67272,3291
-66529,3294
-65918,3298
-65135,3303
-64390,3309
-63626,3314
-62771,3317
-62265,3320
-61414,3327
-60881,3330
-59986,3334
-59229,3338
-58635,3342
-57836,3346
-57109,3350
-56355,3354
-55607,3356
-54989,3359
-54122,3365
-53452,3369
-52707,3371
-51959,3373
-51337,3377
-50469,3383
-49829,3386
-49096,3388
-48319,3391
-47711,3396
-46848,3401
-46187,3404
-45540,3406
-44684,3412
-44074,3417
-43204,3419
-42545,3422
-41918,3427
-41036,3434
-40433,3435
-39581,3440
-39039,3446
-38283,3450
-37386,3454
-36794,3458
-36021,3463
-35391,3467
-34639,3473
-33754,3476
-33162,3479
-32367,3487
-31610,3490
-30878,3494
-30103,3499
-29509,3502
-28644,3510
-28090,3514
-27237,3517
-26467,3523
-25863,3527
-24998,3534
-24466,3538
-23714,3541
-22833,3548
-22222,3551
-21360,3560
-20694,3563
-19953,3570
-19176,3574
-18592,3580
-17729,3586
-17202,3591
-16440,3596
-15548,3604
-14956,3611
-14155,3619
-13522,3625
-12791,3633
-11918,3642
-11302,3648
-10531,3656
-9794,3664
-9021,3672
-8270,3681
-7657,3687
-6777,3698
-6263,3703
-5385,3714
-4630,3723
-4021,3731
-3152,3742
-2587,3748
-1876,3758
-1124,3768
-369,3778
491,3790
1145,3800
1880,3812
2665,3826
3278,3838
4138,3856
4695,3868
5405,3886
6167,3906
6909,3928
7751,3956
8282,3975
9041,4003
9929,4039
10545,4067
11320,6
11930,36
12814,81
13696,128
14166,154
14897,195
15555,232
16333,276
17308,331
17789,357
18585,403
19200,435
19972,476
20818,521
21441,552
22238,591
22848,618
23733,658
24519,693
25093,718
25965,751
26485,771
27260,797
28145,826
28736,846
29603,869
30121,885
30892,905
31775,925
32385,940
33241,958
33760,970
34656,989
35451,1003
36027,1013
36786,1026
37403,1036
38177,1047
39177,1061
39647,1067
40434,1078
41043,1085
41812,1095
42696,1106
43292,1113
44084,1122
44686,1129
45458,1136
46210,1145
46939,1152
47729,1161
48333,1166
49088,1173
49846,1181
50577,1186
51446,1195
51973,1198
52728,1204
53480,1211
54229,1216
55096,1223
55622,1226
56373,1230
57138,1236
57904,1241
58746,1247
59249,1251
60012,1257
60772,1261
61533,1267
62368,1271
62886,1274
63655,1280
64408,1283
65146,1287
66006,1293
66529,1296
67304,1299
68198,1306
68785,1308
69560,1312
70170,1316
70938,1321
71838,1324
72406,1328
73176,1333
73819,1336
74576,1340
75482,1346
76046,1348
76836,1352
77433,1355
78235,1361
79106,1364
79680,1367
80482,1372
81081,1376
81864,1378
82758,1381
83330,1385
84125,1388
84720,1389
85490,1390
86385,1392
86966,1393
87768,1394
88369,1395
89267,1394
90050,1394
90614,1393
91377,1392
92014,1391
92789,1389
93793,1388
94257,1388
95013,1388
95655,1388
96419,1389
97194,1390
97902,1391
98684,1394
99279,1395
100072,1397
100813,1400
101554,1405
102333,1409
102921,1413
103713,1418
104466,1421
105188,1426
105971,1432
106578,1437
107338,1442
108091,1447
108835,1452
109627,1458
110213,1463
110986,1468
111750,1473
112477,1479
113277,1486
113851,1491
114624,1499
115521,1506
116114,1513
116896,1518
117508,1524
118262,1531
119019,1539
119753,1546
120543,1554
121151,1561
122041,1570
122540,1576
123381,1585
124181,1595
124767,1603
125548,1613
126357,1626
127025,1635
127799,1646
128412,1656
129189,1669
130093,1685
130651,1696
